step,token_id,decoded
1,1328,In
2,1032,a
3,10541,dance
4,1070,of
5,3853,words
6,29493,","
7,1738,where
8,10064,silence
9,1117,is
10,1040,the
11,16817,drum
12,29493,","
13,781,"
"
14,29509,A
15,9738,mel
16,1942,ody
17,1246,we
18,4178,aves
19,29493,","
20,1032,a
21,16410,tale
22,3551,yet
23,1066,to
24,1115,be
25,26967,spun
26,29491,.
27,781,"
"
28,29509,A
29,20602,rhythm
30,1062,ic
31,5467,flow
32,29493,","
33,1738,where
34,8171,thoughts
35,2156,take
36,10082,flight
37,29493,","
38,781,"
"
39,1425,In
40,1040,the
41,3799,heart
42,1070,of
43,1040,the
44,2893,night
45,29493,","
46,1684,under
47,1040,the
48,12143,moon
49,29510,'
50,29481,s
51,3432,soft
52,2829,light
53,29491,.
54,781,"
"
55,781,"
"
56,29509,A
57,10270,whisper
58,1070,of
59,20144,secrets
60,29493,","
61,1032,a
62,16410,tale
63,2651,unt
64,1506,old
65,29493,","
66,781,"
"
67,29509,A
68,3606,story
69,1070,of
70,16044,courage
71,29493,","
72,1070,of
73,18526,hearts
74,16628,bold
75,29491,.
76,781,"
"
77,1425,In
78,1040,the
79,10541,dance
80,1070,of
81,1040,the
82,8216,stars
83,29493,","
84,1065,in
85,1040,the
86,6303,wind
87,29510,'
88,29481,s
89,11202,gentle
90,4802,song
91,29493,","
92,781,"
"
93,29509,A
94,16410,tale
95,1070,of
96,2784,love
97,29493,","
98,1738,where
99,1040,the
100,1122,for
101,21118,bidden
102,2618,term
103,18595,belongs
104,29491,.
105,781,"
"
106,781,"
"
107,1425,In
108,1040,the
109,3799,heart
110,29510,'
111,29481,s
112,4302,deep
113,1142,est
114,1252,ch
115,25940,ambers
116,29493,","
117,1065,in
118,1040,the
119,8005,soul
120,29510,'
121,29481,s
122,11600,silent
123,1802,call
124,29493,","
125,781,"
"
126,29509,A
127,5937,secret
128,2475,word
129,29493,","
130,1032,a
131,6075,truth
132,29493,","
133,1032,a
134,6075,truth
135,1122,for
136,1392,one
137,1072,and
138,1312,all
139,29491,.
140,781,"
"
141,1425,In
142,1040,the
143,10541,dance
144,1070,of
145,2179,life
146,29493,","
147,1065,in
148,1040,the
149,10541,dance
150,1070,of
151,1495,time
152,29493,","
153,781,"
"
154,29509,A
155,10541,dance
156,1070,of
157,2784,love
158,29493,","
159,1738,where
160,1040,the
