step,head_agreement
0,
1,0.12143381
2,0.09161107
3,0.10740534
4,0.13203889
5,0.13118508
6,0.16011335
7,0.24936497
8,0.16212061
9,0.26334178
10,0.10778595
11,0.15755467
12,0.25453994
13,0.19884399
14,0.28986907
15,0.2236361
16,0.30822012
17,0.278683
18,0.22611731
19,0.38539955
20,0.31574604
21,0.2767494
22,0.32085404
23,0.35967577
24,0.37260813
25,0.36913803
26,0.35976407
27,0.41779393
28,0.3466018
29,0.36189
30,0.35531914
31,0.3282518
32,0.30016142
33,0.20630307
34,0.1570896
35,0.14425741
36,0.090073265
37,0.18465821
38,0.14916997
39,0.1667838
40,0.23498526
41,0.27806476
42,0.2671438
43,0.31769007
44,0.301012
45,0.29372007
46,0.29998565
47,0.2791244
48,0.28607318
49,0.30756193
50,0.27109236
51,0.26996368
52,0.28219643
53,0.25914654
54,0.17754465
55,0.2377861
56,0.12671366
57,0.07936733
58,0.17427298
59,0.2170792
60,0.19720486
61,0.19096224
62,0.2649275
63,0.22287644
64,0.2269298
65,0.31345123
66,0.26175866
67,0.3270444
68,0.33375493
69,0.3330522
70,0.322601
71,0.2954323
72,0.3451022
73,0.2530038
74,0.242317
75,0.20018098
76,0.15378076
77,0.08666894
78,0.17107685
79,0.23129246
80,0.20087953
81,0.19999917
82,0.21219158
83,0.17276904
84,0.26218233
85,0.26129884
86,0.2321842
87,0.23369001
88,0.23563126
89,0.26069623
90,0.36246496
91,0.25372943
92,0.25552562
93,0.2894868
94,0.36075655
95,0.31045482
96,0.35721788
97,0.25011423
98,0.18539445
99,0.17204434
100,0.17383441
101,0.07235916
102,0.18483903
103,0.22207159
104,0.19023679
105,0.2306666
106,0.22059982
107,0.21428607
108,0.3260226
109,0.27735674
110,0.35102695
111,0.3234281
112,0.33656305
113,0.3009042
114,0.28899875
115,0.29592603
116,0.2934156
117,0.27440774
118,0.36956376
119,0.3941721
120,0.26665232
121,0.26389694
122,0.18668264
123,0.3036765
124,0.16739123
125,0.08222567
126,0.17466702
127,0.23459052
128,0.19871035
129,0.25110307
130,0.2732476
131,0.25546527
132,0.32483807
133,0.2629148
134,0.3725197
135,0.35744745
136,0.31889766
137,0.32143414
138,0.28028914
139,0.29489765
140,0.4042195
141,0.17702249
142,0.289802
143,0.1691062
144,0.2804362
145,0.2597675
146,0.06462597
147,0.1744983
148,0.14790519
149,0.21357071
150,0.24714899
151,0.33814147
152,0.30798557
153,0.3363469
154,0.3767493
155,0.30088842
156,0.30401704
157,0.30253223
158,0.313893
159,0.30295068
