step,entropy
0,
1,0.89089704
2,0.5468793
3,0.26481518
4,1.3594278
5,0.40149903
6,0.0020647391
7,0.042179883
8,0.0018169578
9,7.960238e-05
10,0.0002223034
11,0.12435614
12,0.010609476
13,0.00021025803
14,2.0914784e-05
15,0.03936278
16,0.38720158
17,0.41963106
18,1.6579108
19,0.30314597
20,1.9591196
21,0.6281429
22,0.00032897457
23,1.8562219
24,0.0014798207
25,0.31507254
26,2.1627111
27,0.00024399738
28,0.00016869137
29,0.05821854
30,1.8782153
31,0.2128546
32,0.00050738757
33,0.0005910681
34,1.4663615
35,0.26433828
36,0.102664396
37,1.7942021
38,0.15376969
39,0.038164552
40,0.00090762286
41,0.7446035
42,4.6120113e-05
43,2.247292e-05
44,0.0003181542
45,2.2472793e-06
46,0.0011803651
47,0.009418262
48,0.4614262
49,1.3257967
50,1.5140519
51,0.799189
52,8.70706e-05
53,0.005895491
54,0.8141984
55,0.00055218517
56,0.0857155
57,2.0796411e-05
58,0.012719655
59,1.287244
60,0.060374
61,0.0031606308
62,0.819383
63,0.00024206821
64,0.1614125
65,0.5578689
66,0.00031442914
67,0.16024524
68,0.4119618
69,0.0012529972
70,1.1216068
71,1.1651571
72,1.8239479
73,0.7976093
74,0.037546486
75,1.8954697
76,2.31667
77,0.22330636
78,0.11741879
79,1.4494087
80,0.1934075
81,0.863294
82,0.3733177
83,3.1479292
84,2.2568056e-05
85,0.85466653
86,0.69165015
87,1.3415923
88,0.33824486
89,0.8919437
90,2.2914894
91,2.3656363
92,0.00012077068
93,2.3652265
94,1.8851385
95,0.0007971746
96,0.7567029
97,0.6127533
98,0.2605155
99,1.2882792
100,1.4058697
101,0.17910914
102,1.8967481
103,3.381499e-06
104,0.8808334
105,0.0032809689
106,1.1081936
107,1.3612088
108,0.00029214082
109,0.06573723
110,4.1164326e-06
111,0.63742995
112,1.0488083
113,0.6740229
114,0.6070308
115,0.0012389286
116,0.00123756
117,1.9510567
118,1.3253031e-05
119,0.047289737
120,0.85903674
121,0.408036
122,2.3049777
123,1.5154276
124,2.1164644e-05
125,6.7695175e-05
126,0.34139073
127,1.029163
128,1.3322165
129,0.33956552
130,0.55693376
131,0.4242771
132,0.20802955
133,0.027025044
