k,cum_mean_std_all,cum_mean_std_mid
1,0.11070664,0.10553985
2,0.10122644,0.091391504
3,0.09951591,0.09298011
4,0.09865516,0.09337438
5,0.09858096,0.09505573
6,0.09895299,0.09726248
7,0.09814449,0.09741382
8,0.096629456,0.09641853
9,0.096689254,0.096878976
10,0.09627114,0.096536
11,0.096134685,0.096579194
12,0.09613805,0.0970997
13,0.09595389,0.09689382
14,0.09537179,0.09597648
15,0.09498067,0.09559275
16,0.09430897,0.09466447
17,0.0942703,0.09467598
18,0.09347872,0.09371339
19,0.09327361,0.09344842
20,0.09283993,0.09306073
21,0.09213195,0.09224707
22,0.09172742,0.09172106
23,0.09130174,0.09123311
24,0.09055529,0.090460084
25,0.08971895,0.08943949
26,0.09004765,0.08935463
27,0.089522645,0.08864118
28,0.08899974,0.088036135
29,0.0890953,0.08815457
30,0.0892123,0.0881944
31,0.089178026,0.08816494
32,0.08935816,0.088544995
33,0.08956974,0.08884754
34,0.08985607,0.0892975
35,0.08994387,0.089560516
36,0.08945494,0.08912919
37,0.08948463,0.0892498
38,0.08954646,0.089346334
39,0.089465156,0.08935815
40,0.08920163,0.08913777
41,0.08952189,0.08975185
42,0.089883335,0.09034103
43,0.08977737,0.0902329
44,0.08988556,0.09053381
45,0.08982307,0.090440646
46,0.08990629,0.09065215
47,0.089947246,0.09078015
48,0.08996282,0.090840615
49,0.08987163,0.09082661
50,0.08985348,0.09085731
51,0.09031101,0.09149323
52,0.09043583,0.09158126
53,0.09035363,0.09139226
54,0.09012665,0.09105816
55,0.08996903,0.09084672
56,0.08978184,0.09053929
57,0.08956244,0.090276234
58,0.08932448,0.08995531
59,0.08912932,0.08960017
60,0.088992275,0.08941753
61,0.08875075,0.08903105
62,0.0886786,0.08887399
63,0.088444024,0.088580295
64,0.08835453,0.08832967
65,0.088180475,0.08814354
66,0.08810468,0.087970816
67,0.08800744,0.08781983
68,0.087869376,0.08760518
69,0.08764605,0.087311834
70,0.08747525,0.08712589
71,0.08728799,0.08674689
72,0.08715745,0.08652243
73,0.08691146,0.08621773
74,0.086725734,0.08602383
75,0.08682581,0.08596639
76,0.086533606,0.08555943
77,0.086337455,0.08535736
78,0.086643256,0.08582822
