step,per_step_all,per_step_mid
0,0.1348983,0.14915694
1,0.13804491,0.14399718
2,0.12468423,0.13087834
3,0.14938463,0.16534264
4,0.13726994,0.13667323
5,0.14312066,0.16141744
6,0.14144464,0.15797465
7,0.16054189,0.18441607
8,0.14793445,0.14473379
9,0.14613117,0.1546563
10,0.12126067,0.12381341
11,0.12487508,0.13667788
12,0.14505002,0.16859727
13,0.12640874,0.12599832
14,0.1470867,0.17186457
15,0.1333966,0.14289652
16,0.16414835,0.18917404
17,0.19936211,0.23142482
18,0.18933773,0.21895574
19,0.195249,0.2191632
20,0.19346918,0.20368575
21,0.20778936,0.2249899
22,0.1784356,0.17671448
23,0.19133602,0.22217865
24,0.18067192,0.20302154
25,0.17554705,0.20076078
26,0.15285113,0.15865982
27,0.17876405,0.21263942
28,0.13121662,0.14417864
29,0.14565769,0.15078853
30,0.15723401,0.17663173
31,0.15643449,0.16511163
32,0.105283536,0.09843535
33,0.087798566,0.07696212
34,0.10757189,0.10432065
35,0.10420114,0.10145068
36,0.0863415,0.072285585
37,0.07998896,0.074173674
38,0.08125512,0.08029525
39,0.08679284,0.07577206
40,0.08519646,0.07814503
41,0.08711224,0.08213323
42,0.09549724,0.10047582
43,0.110912286,0.11351617
44,0.09613317,0.098104805
45,0.0886518,0.08977255
46,0.084880106,0.07508139
47,0.08312065,0.06858704
48,0.090070575,0.08379721
49,0.08426296,0.07384308
50,0.09431475,0.092707925
51,0.08359338,0.08294031
52,0.082259625,0.074550845
53,0.09635268,0.095742606
54,0.094131984,0.09419994
55,0.09758261,0.09511335
56,0.097850926,0.08964158
57,0.09053136,0.08933771
58,0.08801678,0.08768604
59,0.087739706,0.083815105
60,0.090703785,0.09200198
61,0.08999108,0.09224029
62,0.09356297,0.09781506
63,0.099077016,0.10184454
64,0.09869435,0.104111455
65,0.10158156,0.10453971
66,0.09802278,0.09888992
67,0.09804974,0.099939354
68,0.09963927,0.10648764
69,0.10633338,0.10372825
70,0.08974671,0.08843807
71,0.09511402,0.099986486
72,0.10053167,0.10622795
73,0.10718187,0.1103724
74,0.10790562,0.11605332
75,0.111782655,0.12213934
76,0.10568104,0.10837721
77,0.119600475,0.12849948
78,0.110416576,0.115819685
79,0.10552944,0.10969711
80,0.12363508,0.13381198
81,0.102601066,0.10535259
82,0.11398873,0.11979103
83,0.11629564,0.12542796
84,0.099604,0.09931874
85,0.09677549,0.09928454
86,0.078882754,0.07481858
87,0.08207449,0.08248024
88,0.07712739,0.07620224
89,0.085131675,0.07385884
90,0.08963444,0.09049882
91,0.07560009,0.071939126
92,0.08032306,0.07049356
93,0.07544724,0.06385607
94,0.07664776,0.06743627
95,0.06285552,0.05272971
96,0.07478628,0.07169472
97,0.07539202,0.06882665
98,0.07616773,0.0626838
99,0.0815318,0.07846612
100,0.080992356,0.0774486
101,0.07891028,0.07425106
102,0.14201853,0.1417489
103,0.07635206,0.07094757
104,0.07992626,0.075836316
105,0.079516836,0.07711362
106,0.069191635,0.07030526
107,0.08141987,0.08143391
108,0.09093246,0.0922671
109,0.08089097,0.08190514
110,0.08706285,0.088600725
111,0.08592717,0.08964955
112,0.0831034,0.08471614
113,0.08801251,0.08510378
114,0.09304102,0.0913182
115,0.096044324,0.09625294
116,0.095628,0.09942515
117,0.09737644,0.10034184
118,0.08830413,0.094043754
119,0.09435378,0.10428839
120,0.09937897,0.105762936
121,0.10403159,0.10953667
122,0.095156305,0.10077863
123,0.09465662,0.1050425
124,0.08715279,0.08781361
125,0.08781572,0.0867566
126,0.08465627,0.08252243
127,0.08366827,0.08100696
128,0.08606439,0.08964385
129,0.09061496,0.09470231
130,0.083101876,0.077103
131,0.081084155,0.079972684
132,0.07371254,0.06917594
133,0.08261562,0.082447104
134,0.08392033,0.08227894
135,0.12654176,0.12723605
136,0.08170365,0.08568633
137,0.08621979,0.09188042
138,0.08082645,0.083369486
139,0.08532551,0.08903885
140,0.08797437,0.09532456
141,0.09144417,0.08951208
142,0.08269337,0.08371434
143,0.093798034,0.08275472
144,0.07951385,0.0795077
145,0.08152383,0.08500728
146,0.08199005,0.079429336
147,0.08500532,0.075323224
148,0.07442146,0.06865878
149,0.07614172,0.07336174
150,0.07872368,0.067504026
151,0.07614976,0.066490896
152,0.06561023,0.056144226
153,0.0772504,0.071868844
154,0.07622827,0.06936807
155,0.07655963,0.07392918
156,0.08085218,0.076263696
157,0.08190714,0.07603555
158,0.08615933,0.08582754
159,0.08783072,0.085428245
