step,per_step_all,per_step_mid
0,0.12337045,0.13473876
1,0.12654066,0.13682391
2,0.07573074,0.0712234
3,0.077664375,0.07553105
4,0.07170841,0.07042275
5,0.07236905,0.0671947
6,0.07275401,0.06901693
7,0.09264305,0.09479956
8,0.07979085,0.07654662
9,0.08057687,0.07374117
10,0.08154643,0.07762199
11,0.08299206,0.078974746
12,0.07950677,0.07735328
13,0.0849431,0.08413518
14,0.08055068,0.075147554
15,0.08368012,0.081367396
16,0.07785604,0.07559277
17,0.084521845,0.08576969
18,0.08610743,0.080363326
19,0.09467318,0.09362393
20,0.079574704,0.07725547
21,0.078276314,0.075149685
22,0.078911215,0.07825768
23,0.090319045,0.09618271
24,0.081310466,0.08200748
25,0.086390376,0.08611213
26,0.10793839,0.11654789
27,0.12520196,0.14018911
28,0.09538589,0.09641545
29,0.109483436,0.106803656
30,0.10875664,0.11051082
31,0.085730486,0.08147569
32,0.07435952,0.07173937
33,0.07579309,0.071255654
34,0.0728382,0.07155031
35,0.10329677,0.09320181
36,0.06816928,0.06551147
37,0.062896624,0.056161713
38,0.065763265,0.06138206
39,0.07295461,0.07494824
40,0.080878966,0.08304935
41,0.0714999,0.068575315
42,0.11776465,0.13322586
43,0.09136793,0.09659223
44,0.0900442,0.09670575
45,0.09604923,0.10491963
46,0.08845629,0.09322891
47,0.15815707,0.15101494
48,0.12694892,0.14707427
49,0.07973061,0.08240934
50,0.07574884,0.0738131
51,0.09117974,0.09974367
52,0.1128335,0.11716828
53,0.10197061,0.10912046
54,0.09364608,0.092645
55,0.11023024,0.11699326
56,0.1052249,0.108819604
57,0.102235526,0.10977073
58,0.10189743,0.11047439
59,0.11115314,0.1234336
60,0.086258255,0.08717091
61,0.09219892,0.09294783
62,0.090377465,0.093116395
63,0.08146241,0.08786015
64,0.09472974,0.09663558
65,0.12956974,0.14920752
66,0.15007412,0.1774991
67,0.15252878,0.18078159
68,0.12148188,0.1441317
69,0.11910024,0.13774107
70,0.09356786,0.09298313
71,0.103691965,0.11216824
72,0.13727327,0.16255625
73,0.14783648,0.17017332
74,0.10714233,0.12075016
75,0.11215384,0.12878536
76,0.11566164,0.13023117
77,0.11341009,0.11867883
78,0.10787337,0.11543479
79,0.0900425,0.088021465
80,0.11153602,0.12290681
81,0.09751508,0.09258032
82,0.09417571,0.08049056
83,0.09528561,0.09835481
84,0.089546934,0.08716484
85,0.09439133,0.092567466
86,0.09874885,0.09252222
87,0.0938509,0.09222866
88,0.08813381,0.076926835
89,0.09687919,0.09267393
90,0.086663604,0.077306084
91,0.08484807,0.0758168
92,0.087245144,0.07938861
93,0.08177765,0.080255784
94,0.07939241,0.06899035
95,0.0856198,0.0819465
96,0.09191289,0.09274373
97,0.09052272,0.086306185
98,0.071031556,0.06373113
99,0.11262233,0.12199391
100,0.1423196,0.15856506
101,0.121013045,0.12681065
102,0.11825663,0.12683606
103,0.116407916,0.13576685
104,0.13281228,0.15250614
105,0.181476,0.20223044
106,0.15675405,0.18976496
107,0.11793939,0.12361581
108,0.12228933,0.1328648
109,0.09802368,0.10795408
110,0.11905958,0.13373762
111,0.13479544,0.16188075
112,0.14815588,0.17188264
113,0.11497548,0.13050751
114,0.13735938,0.15429363
115,0.1280711,0.15074743
116,0.13768412,0.16218597
117,0.11732219,0.13031779
118,0.1665783,0.20393653
119,0.17964427,0.21898156
120,0.15871352,0.17606468
121,0.19300921,0.23745586
122,0.19010042,0.22081546
123,0.19825445,0.22217445
124,0.19217512,0.20046769
125,0.20537847,0.22595172
126,0.16533628,0.16621464
127,0.12667646,0.12857379
