step,per_step_all,per_step_mid
0,0.13264,0.14561582
1,0.13345985,0.14177477
2,0.1743893,0.18049823
3,0.18572038,0.1981834
4,0.15657127,0.14983016
5,0.11998738,0.10887625
6,0.094852865,0.08831281
7,0.08775038,0.085599035
8,0.10000311,0.099308304
9,0.114117146,0.10893185
10,0.102503344,0.09131321
11,0.08980578,0.082726546
12,0.07886066,0.07158779
13,0.10304162,0.09588118
14,0.081927225,0.07497697
15,0.08682315,0.081422575
16,0.102855735,0.10013905
17,0.12211282,0.11483086
18,0.09545061,0.09507642
19,0.10233869,0.10909715
20,0.09974723,0.0924532
21,0.09940162,0.096704155
22,0.10735901,0.11321297
23,0.10617741,0.10207157
24,0.10170675,0.10161519
25,0.10558557,0.10713682
26,0.09885962,0.09573993
27,0.089587316,0.07704788
28,0.108799614,0.11138959
29,0.1112947,0.11536184
30,0.13231313,0.14148888
31,0.12101601,0.13220662
32,0.12999222,0.14379358
33,0.1281496,0.1349127
34,0.11292618,0.096980624
35,0.12475465,0.13548718
36,0.11612422,0.120370276
37,0.10602234,0.10724206
38,0.1528083,0.14697453
39,0.11433439,0.119719915
40,0.13195328,0.1491549
41,0.14788339,0.16456734
42,0.15291496,0.1727143
43,0.12554078,0.13478233
44,0.13215534,0.14445423
45,0.10233039,0.102066256
46,0.10772801,0.118073486
47,0.11175181,0.12201335
48,0.1150145,0.12630475
49,0.13639094,0.15270169
50,0.14356324,0.16355835
51,0.12788585,0.13276435
52,0.1028987,0.09182282
53,0.12197828,0.13736805
54,0.13680877,0.15217811
55,0.14957109,0.14266333
56,0.13005215,0.13568948
57,0.10084301,0.10149839
58,0.095746286,0.08659873
59,0.08970309,0.08631149
60,0.1294682,0.10629537
61,0.099286325,0.10462963
62,0.09309871,0.08744609
63,0.085520044,0.087810285
64,0.09085428,0.09059228
65,0.13074283,0.14771362
