step,entropy
0,
1,0.066954315
2,0.00016345578
3,0.76784956
4,0.62346053
5,0.58303684
6,0.8062326
7,2.3717885
8,1.857127
9,0.025952669
10,0.8957516
11,1.213447
12,0.16328879
13,0.027410708
14,0.23000555
15,0.6166257
16,0.56029505
17,1.9856946
18,0.0004323036
19,0.6002256
20,0.00032319376
21,5.5977103e-05
22,0.5349834
23,0.020752262
24,0.0026342839
25,0.036433626
26,0.08778691
27,0.5067998
28,0.5107171
29,0.5783192
30,0.009592225
31,0.00091463805
32,0.15357052
33,0.047819827
34,0.00086972077
35,0.49537426
36,2.0964167
