step,per_step_all,per_step_mid
0,0.122837365,0.1312869
1,0.12140001,0.12628514
2,0.07455088,0.070265025
3,0.0720553,0.066132486
4,0.05493692,0.04357943
5,0.0635042,0.0638254
6,0.07172671,0.07035467
7,0.060439043,0.057092533
8,0.07238408,0.07025658
9,0.06952004,0.06399968
10,0.055889696,0.051009618
11,0.0694952,0.069783255
12,0.06848249,0.06961764
13,0.06279686,0.06579322
14,0.055976585,0.05092037
15,0.05320679,0.04856266
16,0.056687787,0.054118775
17,0.04993122,0.04854362
18,0.057243362,0.048668277
19,0.052659374,0.053053733
20,0.07189664,0.06984648
21,0.067971684,0.064614974
22,0.0628479,0.056162573
23,0.051739916,0.049108032
24,0.051364314,0.048180785
25,0.045577712,0.04285334
26,0.05769965,0.05917158
27,0.0583759,0.059519276
28,0.05518358,0.05576938
29,0.05644401,0.049218837
30,0.048023444,0.047293723
31,0.053233344,0.052146673
32,0.08728762,0.09051578
