step,per_step_all,per_step_mid
0,0.121678896,0.13213311
1,0.09469341,0.092059724
2,0.07784988,0.07706606
3,0.0754521,0.07958887
4,0.08931656,0.090121225
5,0.06696333,0.059530057
6,0.066132545,0.06344539
7,0.080235615,0.080571495
8,0.07939733,0.07501501
9,0.056763474,0.056377575
10,0.072724804,0.07078954
11,0.049220797,0.04141063
12,0.06443742,0.06809222
13,0.06945185,0.06655141
14,0.053643383,0.047053132
15,0.057825543,0.057989076
16,0.061213296,0.057559106
17,0.049552936,0.042369846
18,0.06365651,0.06603947
19,0.06051438,0.055674896
20,0.04955072,0.0430849
21,0.06279897,0.065555535
22,0.057178292,0.051793966
23,0.05526801,0.050291304
24,0.04341282,0.03579159
25,0.06825868,0.071763255
26,0.05566912,0.04951541
27,0.06894989,0.060211908
28,0.050413795,0.046110902
29,0.042577267,0.03561279
30,0.1095157,0.13049722
31,0.14765877,0.16860959
