k,cum_mean_std_all,cum_mean_std_mid
1,0.09620403,0.09137067
2,0.081422225,0.07432899
3,0.07608775,0.070748605
4,0.07933496,0.07402083
5,0.07780261,0.0723089
6,0.07487827,0.0697194
7,0.07466382,0.07001639
8,0.07297921,0.06847514
9,0.07136487,0.067083955
10,0.06932687,0.064901315
11,0.06940405,0.06443825
12,0.06777545,0.06301605
13,0.06614575,0.060987696
14,0.06556211,0.060661834
15,0.06610562,0.0614784
16,0.0654844,0.060803697
17,0.0646205,0.059994426
18,0.064718455,0.060280986
19,0.06394992,0.05959431
20,0.06323383,0.05894343
21,0.062499676,0.05819776
22,0.06149081,0.057050943
23,0.06073013,0.056416396
24,0.06024011,0.055818647
25,0.059574313,0.05503767
26,0.05885543,0.0542101
27,0.05816932,0.053437684
28,0.057960786,0.053396415
29,0.05941365,0.055114903
30,0.059354655,0.055072587
31,0.058939416,0.05458093
32,0.058604628,0.054183364
33,0.057966735,0.053591583
34,0.057557337,0.053240743
35,0.057255637,0.05297182
36,0.05678938,0.052455097
37,0.0564122,0.05211579
38,0.056165744,0.051946767
39,0.056080952,0.051947422
40,0.05608868,0.052114964
41,0.05592662,0.051859275
42,0.055803645,0.051801126
43,0.055708077,0.051763035
44,0.055512544,0.05162002
45,0.05527297,0.051371112
46,0.055031974,0.051042415
47,0.055015605,0.05112086
48,0.05605441,0.052528057
