step,per_step_all,per_step_mid
0,0.1372982,0.15024994
1,0.1506498,0.16750927
2,0.14490916,0.16218774
3,0.12188904,0.12083631
4,0.11803403,0.12229394
5,0.1368822,0.14956154
6,0.13935508,0.15987998
7,0.14848173,0.17113894
8,0.16406949,0.19354059
9,0.11470975,0.12091896
10,0.09311536,0.097100265
11,0.11322267,0.12274606
12,0.15154682,0.17283812
13,0.14571825,0.16695748
14,0.11967115,0.12501249
15,0.15399039,0.18057333
16,0.14422171,0.15818325
17,0.17231853,0.19830327
18,0.16496266,0.1891215
19,0.17009048,0.19837488
20,0.13933311,0.14909528
21,0.18622236,0.22878304
22,0.12844937,0.13112791
23,0.09198675,0.09567583
24,0.11495489,0.12748836
25,0.11799844,0.12343054
26,0.08424054,0.07557023
27,0.09984337,0.099254966
28,0.16510573,0.19225138
29,0.14256053,0.15881842
30,0.13027567,0.13928114
31,0.1202965,0.13382459
32,0.103846565,0.11130958
33,0.09153815,0.09357863
34,0.07612984,0.06995361
35,0.07972411,0.07466885
36,0.092225306,0.094194934
37,0.074765086,0.07117115
38,0.08660567,0.088312626
39,0.083607726,0.08835541
40,0.08529627,0.08923535
41,0.08788063,0.095701866
42,0.0875387,0.093285196
43,0.101998165,0.10855568
44,0.1329106,0.15233624
