step,per_step_all,per_step_mid
0,0.11601709,0.12149579
1,0.09247876,0.089357674
2,0.060154118,0.054250263
3,0.08084574,0.07303879
4,0.060522694,0.054895386
5,0.0562811,0.050849054
6,0.06752801,0.06597532
7,0.048046123,0.046171043
8,0.04582647,0.039474268
9,0.053432185,0.049710963
10,0.064357184,0.06393253
11,0.05346855,0.047582783
12,0.05531809,0.05273448
13,0.04061951,0.03774657
14,0.039922513,0.036296636
15,0.042133033,0.033713583
16,0.0388561,0.03467679
17,0.041393977,0.036693968
18,0.04590978,0.044863537
19,0.042926237,0.040768567
20,0.04510004,0.042417802
21,0.112899534,0.11254936
22,0.036822535,0.033526286
23,0.040424764,0.03702132
24,0.044682384,0.04385843
25,0.040752277,0.038369082
26,0.038144585,0.03281342
27,0.041357446,0.037481267
28,0.05093227,0.05462238
29,0.08109823,0.08065342
