k,cum_mean_std_all,cum_mean_std_mid
1,0.08987429,0.08584636
2,0.07790074,0.07256846
3,0.07289251,0.06877987
4,0.07041149,0.06724165
5,0.07028265,0.06751551
6,0.06807934,0.064817816
7,0.06948788,0.066368654
8,0.06841339,0.065255076
9,0.06721531,0.06336515
10,0.06668124,0.0626656
11,0.066100724,0.062224504
12,0.065817356,0.06193583
13,0.06570665,0.06151933
14,0.06483267,0.060554046
15,0.064354554,0.060111534
16,0.065880716,0.06184081
17,0.06571537,0.06155219
18,0.06539771,0.061117895
19,0.06501832,0.06085483
20,0.06468765,0.060657956
21,0.06426889,0.060291108
22,0.06414337,0.060430408
23,0.0637944,0.06032668
24,0.06345584,0.059925977
25,0.06318489,0.05977453
26,0.06332083,0.060004786
27,0.06315233,0.059943795
28,0.063162066,0.06012138
29,0.06299966,0.059985902
30,0.06284848,0.059863884
31,0.06252709,0.059678957
32,0.06228102,0.059561677
33,0.06216586,0.059462346
34,0.061997987,0.05931399
35,0.06187858,0.05924127
36,0.06184911,0.059219047
37,0.061795518,0.0592105
38,0.061619446,0.058913205
39,0.061473887,0.058708325
40,0.06139604,0.058725048
41,0.06127198,0.05850489
42,0.060985286,0.05811685
43,0.060966454,0.058186576
44,0.061077382,0.05836841
45,0.061183404,0.058365304
46,0.061123785,0.058228914
47,0.061186045,0.058243025
48,0.062079687,0.059461683
