step,per_step_all,per_step_mid
0,0.11502161,0.12047043
1,0.09815258,0.094351105
2,0.073199704,0.067736425
3,0.06566614,0.06146828
4,0.06740856,0.06395166
5,0.049854614,0.039224897
6,0.059509173,0.050478164
7,0.054983906,0.050618384
8,0.08982044,0.089365415
9,0.06269213,0.057529245
10,0.061074577,0.05379835
11,0.055029325,0.047129247
12,0.05897458,0.05493883
13,0.047955602,0.045277115
14,0.053400107,0.048060752
15,0.05710515,0.0550635
16,0.05928334,0.05125052
17,0.056804456,0.04993172
18,0.05022834,0.047713812
19,0.055511396,0.049432352
20,0.059564713,0.05295551
21,0.06294148,0.061052833
22,0.056951646,0.04981923
23,0.05198895,0.045429494
24,0.050184324,0.049481988
25,0.046584677,0.04295082
26,0.05275954,0.052175853
27,0.11864558,0.12904984
